Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:01845009


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
1845009;1;01/12/1974;1;41,0;130,5;30;;1;1;0;;0;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,8;0,0;0,0;0,0;0,0;0,0;0,0;9,2;16,0;11,2;14,0;13,2;6,0;2,8;4,1;41,0;0,2;0;0;0;0;0;0;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/01/1975;1;50,0;252,9;3;13;1;1;1;1260,59997558594;1;38,0;8,2;50,0;10,1;1,0;0,0;0,0;0,0;2,8;36,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,2;49,5;4,9;0,0;0,0;29,5;14,4;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/02/1975;1;48,2;173,3;10;16;1;1;1;1260,59997558594;1;0,0;0,0;3,0;46,0;20,2;4,4;38,0;1,3;3,2;48,2;3,6;3,2;0,2;0,0;0,2;0,0;0,3;0,0;0,0;0,0;0,0;0,0;1,0;0,2;0,0;0,0;0,3;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
1845009;1;01/03/1975;1;4,5;13,6;27;6;1;1;1;1260,59997558594;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;3,2;0,0;4,5;0,0;4,3;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/04/1975;1;30,0;90,5;4;9;1;1;1;1260,59997558594;1;13,2;1,2;5,1;30,0;0,0;0,0;0,0;0,0;0,0;0,0;24,0;0,0;0,3;2,3;3,3;11,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1845009;1;01/05/1975;1;89,0;153,1;6;5;1;1;1;1260,59997558594;1;0,0;0,0;0,0;0,0;3,0;89,0;0,1;35,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/06/1975;1;0,0;0,0;1;0;1;1;1;1260,59997558594;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1845009;1;01/07/1975;1;7,9;13,4;4;4;1;1;1;1260,59997558594;1;0,0;0,0;0,3;7,9;3,0;2,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/08/1975;1;0,0;0,0;1;0;1;1;1;1260,59997558594;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/09/1975;1;7,1;7,8;28;2;1;1;1;1260,59997558594;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;7,1;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1845009;1;01/10/1975;1;50,0;187,7;9;15;1;1;1;1260,59997558594;1;0,0;0,0;0,0;0,0;1,7;1,3;0,0;0,0;50,0;0,0;0,0;29,0;0,1;0,1;1,2;0,0;34,0;29,0;21,0;0,1;0,1;0,0;0,0;0,0;0,1;17,0;3,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/11/1975;1;65,0;302,6;2;17;1;1;1;1260,59997558594;1;0,1;65,0;49,0;0,1;0,0;0,0;23,0;12,0;0,0;9,0;32,0;6,0;2,4;38,0;0,0;0,0;0,0;0,0;1,3;0,0;0,0;29,0;0,0;2,3;6,0;18,4;9,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1845009;1;01/12/1975;1;18,0;65,7;15;8;1;1;1;1260,59997558594;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,0;18,0;8,4;12,4;5,4;0,0;0,0;0,0;0,0;0,0;1,3;2,2;7,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/01/1976;1;31,0;52,8;5;5;1;1;1;;0;0,0;0,0;0,0;0,0;31,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,0;5,3;0,0;0,0;5,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/02/1976;1;49,0;164,9;4;;1;1;0;;0;0,0;1,1;13,2;49,0;0,0;0,0;0,0;;0,0;9,0;39,0;0,0;0,0;0,0;0,0;0,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;14,0;4,0;8,0;6,2;0,0;15,4;;;1;1;1;1;1;1;1;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
1845009;1;01/03/1976;1;17,0;64,3;23;11;1;1;1;;0;0,0;2,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;10,0;0,0;0,0;0,0;0,0;8,0;1,0;0,0;0,0;17,0;6,5;0,0;0,0;13,0;4,7;1,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/04/1976;1;5,0;5,2;30;2;1;1;1;;0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1845009;1;01/05/1976;1;8,8;17,1;31;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/06/1976;1;0,0;0,0;1;0;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1845009;1;01/07/1976;1;5,8;12,2;4;3;1;1;1;;0;0,0;1,0;0,0;5,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/08/1976;1;8,0;8,0;14;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/09/1976;1;47,0;167,8;13;13;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,0;0,0;1,0;0,1;7,0;47,0;26,0;5,3;26,0;3,0;0,0;0,0;0,0;15,0;0,0;0,0;3,2;0,0;0,0;5,2;23,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1845009;1;01/10/1976;1;18,0;61,9;21;10;1;1;1;;0;0,0;3,2;9,2;0,0;0,0;2,2;3,0;0,0;0,1;10,2;1,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18,0;4,6;0,0;0,0;0,0;0,0;10,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/11/1976;1;30,0;221,0;10;17;1;1;1;;0;0,0;12,2;0,0;0,0;25,0;6,4;0,0;0,0;0,0;30,0;10,2;0,0;12,0;9,0;0,0;0,0;8,0;10,2;0,0;2,3;28,0;16,0;27,0;6,0;0,0;0,0;0,0;3,8;14,8;0,1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1845009;1;01/12/1976;1;80,5;282,7;10;23;1;1;1;;0;0,0;7,2;1,4;8,2;0,0;15,8;2,2;0,0;0,4;80,5;23,2;3,0;16,0;2,4;0,0;0,0;2,0;9,2;0,0;8,0;7,0;21,0;2,0;2,0;0,0;7,6;15,2;0,0;37,0;10,2;1,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/01/1977;1;64,0;203,4;22;13;1;1;1;982,299987792969;1;8,0;0,0;0,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;21,2;2,0;49,0;5,0;64,0;0,2;17,0;0,0;0,0;15,0;7,0;6,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/02/1977;1;8,2;27,6;26;7;1;1;1;982,299987792969;1;0,0;0,0;0,0;3,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;3,0;3,2;0,0;3,0;8,2;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
1845009;1;01/03/1977;1;65,0;114,4;31;6;1;1;1;982,299987792969;1;0,0;0,0;0,0;0,0;0,0;1,0;4,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;42,0;2,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;65,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/04/1977;1;35,0;99,6;20;7;1;1;1;982,299987792969;1;0,3;25,2;14,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;35,0;14,0;11,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1845009;1;01/05/1977;1;32,2;35,4;17;2;1;1;1;982,299987792969;1;3,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;32,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/06/1977;1;4,0;4,4;4;3;1;1;1;982,299987792969;1;0,0;0,0;0,0;4,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1845009;1;01/07/1977;1;0,0;0,0;1;0;1;1;1;982,299987792969;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/08/1977;1;0,0;0,0;1;0;1;1;1;982,299987792969;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/09/1977;1;15,0;33,6;4;4;1;1;1;982,299987792969;1;0,0;0,0;0,0;15,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,0;0,0;0,0;5,4;6,2;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1845009;1;01/10/1977;1;24,0;62,4;29;8;1;1;1;982,299987792969;1;0,0;0,3;1,4;7,2;0,0;23,8;3,4;1,2;1,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;24,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/11/1977;1;50,5;237,4;7;18;1;1;1;982,299987792969;1;0,0;0,0;0,4;9,4;0,0;0,0;50,5;19,0;0,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,2;4,2;3,3;0,2;22,2;0,0;9,4;21,0;26,0;30,0;3,4;15,0;18,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
1845009;1;01/12/1977;1;70,0;164,1;24;10;1;1;1;982,299987792969;1;62,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,4;10,2;0,0;0,0;0,0;0,0;1,0;3,0;0,0;3,1;0,0;1,0;70,0;6,2;0,0;3,2;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1845009;1;01/01/1978;1;83,2;271,8;13;15;1;1;1;1362;1;0,0;0,0;17,0;38,0;9,0;9,0;10,0;5,0;0,0;14,0;15,0;20,0;83,2;45,0;5,2;0,1;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
