Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:41020002


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
41020002;1;01/01/1957;;1;1;3330;743;1390,161;1;13;1;1;1;;0;3330;2730;2160;1780;1580;1430;1310;1190;1080;996;962;848;743;1120;1400;1280;1740;1810;1680;1470;1540;1570;1420;1280;1230;1100;969;868;842;769;868;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/02/1957;;1;1;1450;603;1067;14;4;1;1;1;;0;769;710;659;603;621;628;730;762;862;990;976;976;1140;1450;1320;1190;1400;1270;1270;1230;1380;1230;1420;1440;1180;1240;1240;1190;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/03/1957;;1;1;1820;888;1286,258;25;8;1;1;1;;0;1260;1240;1230;1180;1090;1000;962;888;888;976;1260;1420;1780;1580;1400;1670;1390;1300;1160;1070;1110;1000;1200;1620;1820;1420;1290;1200;1540;1540;1390;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/04/1957;;1;1;2740;704;1375,567;7;29;1;1;1;;0;1300;1180;1320;1130;1420;1710;2740;2420;2340;2200;2090;2020;1710;1630;1500;1380;1320;1240;1170;1140;1070;1010;908;862;821;762;736;717;704;717;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/05/1957;;1;1;929;478;645,548;20;29;1;1;1;;0;665;640;621;591;562;568;550;550;568;568;628;672;743;842;842;828;821;875;915;929;756;672;609;568;515;504;493;483;478;478;478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/06/1957;;1;1;453;368;399,9;1;23;1;1;1;;0;453;434;424;419;414;410;410;414;419;414;414;405;414;405;395;391;410;410;382;400;400;372;368;368;382;372;382;372;372;372;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/07/1957;;1;1;350;297;321,968;1;31;1;1;1;;0;350;345;350;336;350;350;350;350;323;319;350;336;350;319;319;314;306;306;306;306;306;306;301;310;306;306;306;306;301;301;297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/08/1957;;1;1;306;232;267,677;1;27;1;1;1;;0;306;301;297;301;292;297;301;262;279;275;270;266;266;257;262;266;270;270;270;270;262;253;257;253;253;249;232;232;249;240;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
41020002;1;01/09/1957;;1;1;377;223;260,833;30;19;1;1;1;;0;236;240;244;244;240;244;244;262;275;270;270;232;249;240;244;240;236;236;223;244;232;249;284;266;244;249;275;368;368;377;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
41020002;1;01/10/1957;;1;1;448;202;253,806;1;26;1;1;1;;0;448;386;359;354;345;319;292;270;253;244;244;244;240;232;223;219;215;215;215;223;219;207;211;207;207;202;207;219;223;219;207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
